Date	Blocks
2015-05-06	1059.0
2015-05-07	1103.0
2015-05-08	1127.0
2015-05-09	1145.0
2015-05-10	1148.0
2015-05-11	1187.0
2015-05-12	1165.0
2015-05-13	1180.0
2015-05-14	1096.0
2015-05-15	1026.0
2015-05-16	1400.0
2015-05-17	1330.0
2015-05-18	1117.0
2015-05-19	1218.0
2015-05-20	1305.0
2015-05-21	1023.0
2015-05-22	857.0
2015-05-23	479.0
2015-05-24	1093.0
2015-05-25	976.0
2015-05-26	964.0
2015-05-27	910.0
2015-05-28	1206.0
2015-05-29	951.0
2015-05-30	958.0
2015-05-31	937.0
2015-06-01	968.0
2015-06-02	968.0
2015-06-03	858.0
2015-06-04	1023.0
2015-06-05	904.0
2015-06-06	930.0
2015-06-07	1016.0
2015-06-08	920.0
2015-06-09	980.0
2015-06-10	936.0
2015-06-11	977.0
2015-06-12	945.0
2015-06-13	943.0
2015-06-14	956.0
2015-06-15	945.0
2015-06-16	927.0
2015-06-17	930.0
2015-06-18	549.0
2015-06-19	982.0
2015-06-20	910.0
2015-06-21	973.0
2015-06-22	951.0
2015-06-23	964.0
2015-06-24	937.0
2015-06-25	967.0
2015-06-26	948.0
2015-06-27	956.0
2015-06-28	949.0
2015-06-29	968.0
2015-06-30	941.0
2015-07-01	960.0
2015-07-02	957.0
2015-07-03	961.0
2015-07-04	966.0
2015-07-05	951.0
2015-07-06	933.0
2015-07-07	970.0
2015-07-08	938.0
2015-07-09	1014.0
2015-07-10	902.0
2015-07-11	947.0
2015-07-12	988.0
2015-07-13	971.0
2015-07-14	829.0
2015-07-15	1071.0
2015-07-16	934.0
2015-07-17	928.0
2015-07-18	970.0
2015-07-19	949.0
2015-07-20	952.0
2015-07-21	966.0
2015-07-22	986.0
2015-07-23	904.0
2015-07-24	964.0
2015-07-25	942.0
2015-07-26	978.0
2015-07-27	977.0
2015-07-28	952.0
2015-07-29	930.0
2015-07-30	931.0
2015-07-31	914.0
2015-08-01	949.0
2015-08-02	924.0
2015-08-03	966.0
2015-08-04	975.0
2015-08-05	955.0
2015-08-06	951.0
2015-08-07	997.0
2015-08-08	957.0
2015-08-09	958.0
2015-08-10	931.0
2015-08-11	1014.0
2015-08-12	925.0
2015-08-13	888.0
2015-08-14	805.0
2015-08-15	720.0
2015-08-16	1234.0
2015-08-17	956.0
2015-08-18	983.0
2015-08-19	924.0
2015-08-20	1005.0
2015-08-21	976.0
2015-08-22	913.0
2015-08-23	999.0
2015-08-24	928.0
2015-08-25	886.0
2015-08-26	948.0
2015-08-27	946.0
2015-08-28	831.0
2015-08-29	964.0
2015-08-30	916.0
2015-08-31	930.0
2015-09-01	1033.0
2015-09-02	948.0
2015-09-03	989.0
2015-09-04	914.0
2015-09-05	926.0
2015-09-06	979.0
2015-09-07	933.0
2015-09-08	977.0
2015-09-09	926.0
2015-09-10	990.0
2015-09-11	942.0
2015-09-12	921.0
2015-09-13	966.0
2015-09-14	989.0
2015-09-15	946.0
2015-09-16	980.0
